"saliva_microbe","urine_microbe","urine_metab","ACME","ACME_p","ADE","prop_med","total_p","ACME_fdr"
"s__Neisseria sicca_A","s__Porphyromonas gingivalis","N_4-Vinylphenol",-0.000441447694215562,0.966666666666667,-0.0699041511729451,-0.000816634101524681,0.76,1
"g__Centipeda_HROM_Genome_2745","s__Moraxella_A cinereus","P_8-acetyl-5,7-dimethoxy-2,2-dimethylchromene",-0.0026403116819585,0.966666666666667,-0.0731609627759787,0.000562637408431834,0.84,1
"g__Neisseria_HROM_Genome_4825","s__Porphyromonas gingivalis","N_4-Vinylphenol",-0.00039987397152976,0.973333333333333,-0.0836332526477704,0.00161599091777014,0.64,1
"g__Nanogingivalis_HROM_Genome_3860","s__Moraxella_A cinereus","N_Chloranocryl",8.5809914279302e-05,0.973333333333333,0.0675382348760484,0.00113303423179851,0.36,1
"s__Haemophilus seminalis","s__Porphyromonas gingivalis","P_10-Azabenzo[a]pyrene",-0.00184173810337973,0.973333333333333,0.00496934745028332,-0.000177573550577498,0.98,1
"f__Pasteurellaceae_HROM_Genome_4958","s__Porphyromonas gingivalis","N_4-Vinylphenol",0.000189793528733175,0.973333333333333,-0.0859721789388338,0.00174848964958932,0.406666666666667,1
"g__Centipeda_HROM_Genome_2745","s__Moraxella_A cinereus","N_Chloranocryl",-0.000781850088245646,0.98,0.0865708453959558,-0.00202225377684064,0.413333333333333,1
"s__Leptotrichia buccalis","s__Escherichia coli","N_(S)-LACTATE",8.50332233444428e-05,0.98,0.0195285105343544,0.00432272660748775,0.353333333333333,1
"s__Centipeda sp001683335","s__Cutibacterium modestum","P_Acridine",-8.8271894978377e-07,0.98,-0.18287444283658,-0.00071924078274735,0.0866666666666667,1
"g__Neisseria_HROM_Genome_4825","s__Porphyromonas gingivalis","P_3-Pyridinemthanol",-0.0015670060689343,0.98,-0.054107071784179,0.000399014561443112,0.54,1
"g__Centipeda_HROM_Genome_2745","s__Moraxella_A cinereus","P_(3Z)-3-butylidene-6,7-dihydroxy-4,5,6,7-tetrahydro-2-benzofuran-1-one",-0.000580168698706247,0.98,0.277240783321022,0.00050620205723164,0.16,1
"g__Neisseria_HROM_Genome_4825","s__Porphyromonas gingivalis","N_3,4-Dihydroxybenzoic acid",-0.000799013024348379,0.986666666666667,-0.0505887897228765,-0.000232866594188888,0.56,1
"s__Haemophilus haemolyticus","s__Porphyromonas gingivalis","N_4-Vinylphenol",0.000840676856918635,0.986666666666667,-0.0603109304604214,0.00879787321474599,0.686666666666667,1
"g__Centipeda_HROM_Genome_2745","s__Moraxella_A cinereus","P_Phenylacetylglutamine",0.000866487318226844,0.993333333333333,0.20197896508605,0.000274018663868394,0.133333333333333,1
"s__Haemophilus seminalis","s__Porphyromonas gingivalis","N_4-Vinylphenol",0.000287528144870758,0.993333333333333,-0.0772755749460925,0.000478749113452518,0.653333333333333,1
"g__Neisseria_HROM_Genome_4825","s__Porphyromonas gingivalis","P_10-Azabenzo[a]pyrene",0.000782139572820585,1,-0.0405640241469147,0.00447566939514875,0.833333333333333,1
"s__Centipeda sp001683335","s__Cutibacterium modestum","P_4-Hexylaniline",-0.000643262208003092,1,-0.161220816097157,-0.000406707891241205,0.14,1
"s__Neisseria sicca_A","s__Porphyromonas gingivalis","P_10-Azabenzo[a]pyrene",-0.000269696561483993,1,-0.0234463514941231,-0.000165643944017065,0.986666666666667,1
