"feature","Genus","term","lfc","q","diff_abn"
"s__Olsenella_F profusa_A","g__Olsenella_F","Periodontitis",-0.339101439193678,0.89319569131275,FALSE
"s__Olsenella_F sp001189515","g__Olsenella_F","Periodontitis",-0.731970871968305,0.459162858816976,FALSE
"s__Olsenella_I phocaeensis","g__Olsenella_I","Periodontitis",0.897899298993096,0.469338516093877,FALSE
"g__Tractidigestivibacter_HROM_Genome_0960","g__Tractidigestivibacter","Periodontitis",-0.191626733987765,0.893901079913981,FALSE
"s__Tractidigestivibacter sp900605015","g__Tractidigestivibacter","Periodontitis",-0.0631676098491275,0.984618492404848,FALSE
"s__UBA7748 sp003862175","g__UBA7748","Periodontitis",-0.0546017705914723,0.989362070146602,FALSE
"f__Eggerthellaceae_HROM_Genome_0954","g__","Periodontitis",0.488188266850238,0.5793624660411,FALSE
"s__Berryella intestinalis","g__Berryella","Periodontitis",0.40967087454383,0.678344831054917,FALSE
"s__Cryptobacterium curtum","g__Cryptobacterium","Periodontitis",0.229573931623026,0.9418314624426,FALSE
"s__Slackia exigua","g__Slackia","Periodontitis",0.210429983756049,0.905635681049375,FALSE
"g__Alloprevotella_HROM_Genome_1039","g__Alloprevotella","Periodontitis",0.0215917035711896,0.993205612069886,FALSE
"g__Alloprevotella_HROM_Genome_1042","g__Alloprevotella","Periodontitis",0.28418968125796,0.830255748837956,FALSE
"g__Alloprevotella_HROM_Genome_1044","g__Alloprevotella","Periodontitis",-0.759004214804456,0.641051584682254,FALSE
"g__Alloprevotella_HROM_Genome_1050","g__Alloprevotella","Periodontitis",0.625468528361594,0.636735506954597,FALSE
"g__Alloprevotella_HROM_Genome_1051","g__Alloprevotella","Periodontitis",1.22694475268934,0.236647195314192,FALSE
"g__Alloprevotella_HROM_Genome_1054","g__Alloprevotella","Periodontitis",0.658815365395615,0.491211344433145,FALSE
"g__Alloprevotella_HROM_Genome_1058","g__Alloprevotella","Periodontitis",1.10523985330454,0.0905179275844671,FALSE
"g__Alloprevotella_HROM_Genome_1059","g__Alloprevotella","Periodontitis",0.190239983781311,0.922321705300962,FALSE
"g__Alloprevotella_HROM_Genome_1061","g__Alloprevotella","Periodontitis",0.49485767067,0.747204040527689,FALSE
"s__Alloprevotella rava","g__Alloprevotella","Periodontitis",0.4187652924633,0.728476678196965,FALSE
"s__Alloprevotella sp000318095","g__Alloprevotella","Periodontitis",1.31749511090327,0.162054455941184,FALSE
"s__Alloprevotella sp003639005","g__Alloprevotella","Periodontitis",1.04934357511396,0.248087470758419,FALSE
"s__Alloprevotella sp015257125","g__Alloprevotella","Periodontitis",0.744496672421472,0.437670161622538,FALSE
"s__Alloprevotella sp015259235","g__Alloprevotella","Periodontitis",0.800618730682907,0.550824975474516,FALSE
"s__Alloprevotella sp900095835","g__Alloprevotella","Periodontitis",0.89282689707415,0.385536575404856,FALSE
