"comparison","feature","Genus","LDA","enriched_in"
"PD vs PCD","s__JABCPE02 sp013333875","g__JABCPE02",2.4892174259524,"PCD"
"PD vs PCD","s__Leptotrichia buccalis","g__Leptotrichia",2.48943526107538,"PCD"
"PD vs PCD","g__Corynebacterium_HROM_Genome_0380","g__Corynebacterium",2.49825626276388,"PCD"
"PD vs PCD","s__Alloprevotella sp015259235","g__Alloprevotella",2.60719587421569,"PCD"
"PD vs PCD","g__Campylobacter_A_HROM_Genome_1597","g__Campylobacter_A",2.63334757554736,"PCD"
"PD vs PCD","g__Streptococcus_HROM_Genome_2260","g__Streptococcus",2.67339658040253,"PCD"
"PD vs PCD","g__JABCPE02_HROM_Genome_1199","g__JABCPE02",2.70530696451122,"PCD"
"PD vs PCD","g__JABCPE02_HROM_Genome_1200","g__JABCPE02",2.70855978100123,"PCD"
"PD vs PCD","s__Neisseria polysaccharea","g__Neisseria",2.72094184442691,"PCD"
"PD vs PCD","s__Capnocytophaga bilenii","g__Capnocytophaga",2.82113698272813,"PCD"
"PD vs PCD","s__Ottowia sp001262075","g__Ottowia",2.88773763327834,"PCD"
"PD vs PCD","s__Porphyromonas sp905372565","g__Porphyromonas",2.93188618334735,"PCD"
"PD vs PCD","s__Bergeyella_A cardium","g__Bergeyella_A",2.93291724435116,"PCD"
"PD vs PCD","s__Haemophilus_A parahaemolyticus","g__Haemophilus_A",3.00915792942895,"PCD"
"PD vs PCD","s__Neisseria cinerea","g__Neisseria",3.05925700624468,"PCD"
"PD vs PCD","s__JABCPE02 sp013333255","g__JABCPE02",3.35323743528739,"PCD"
"PD vs PCD","g__Neisseria_HROM_Genome_4837","g__Neisseria",3.42687567851362,"PCD"
"PD vs PCD","s__Neisseria flavescens","g__Neisseria",3.4303232450711,"PCD"
"PD vs PCD","g__Bergeyella_A_HROM_Genome_1209","g__Bergeyella_A",3.72416968018819,"PCD"
"PD vs PCD","s__Neisseria subflava","g__Neisseria",3.80233940963125,"PCD"
"PD vs PCD","s__Neisseria subflava_C","g__Neisseria",3.86120849905855,"PCD"
"PC vs PCD","g__Streptococcus_HROM_Genome_2304","g__Streptococcus",-3.36993014910127,"PC"
"PC vs PCD","s__Nanosynbacter sp007845355","g__Nanosynbacter",-2.80935343719045,"PC"
"PC vs PCD","s__Nanosynbacter sp900556355","g__Nanosynbacter",-2.63393504610531,"PC"
"PC vs PCD","g__Nanosynbacter_HROM_Genome_3549","g__Nanosynbacter",-2.61934934433648,"PC"
"PC vs PCD","g__Nanosynbacter_HROM_Genome_3548","g__Nanosynbacter",-2.59244934740445,"PC"
"PC vs PCD","g__Pauljensenia_HROM_Genome_0295","g__Pauljensenia",-2.46254080603639,"PC"
"PC vs PCD","g__Nanosynbacter_HROM_Genome_3566","g__Nanosynbacter",-2.44445939372783,"PC"
"PC vs PCD","g__Campylobacter_A_HROM_Genome_1297","g__Campylobacter_A",-2.30512784559081,"PC"
"PC vs PCD","g__Eubacterium_B_HROM_Genome_1922","g__Eubacterium_B",-2.28232482918904,"PC"
"PC vs PCD","g__Pauljensenia_HROM_Genome_0296","g__Pauljensenia",-2.21809739704427,"PC"
"PC vs PCD","g__Nanosynbacter_HROM_Genome_3571","g__Nanosynbacter",-2.1640423210171,"PC"
"PC vs PCD","g__Pauljensenia_HROM_Genome_0253","g__Pauljensenia",-2.16051693991688,"PC"
"PC vs PCD","g__Pauljensenia_HROM_Genome_0260","g__Pauljensenia",-2.13980231898853,"PC"
"PC vs PCD","g__Pauljensenia_HROM_Genome_0294","g__Pauljensenia",-2.09955695866541,"PC"
"PC vs PCD","g__Streptococcus_HROM_Genome_2316","g__Streptococcus",-2.08284176180872,"PC"
"PC vs PCD","g__Bulleidia_HROM_Genome_2044","g__Bulleidia",-2.06316103200335,"PC"
"PC vs PCD","s__Streptococcus gordonii","g__Streptococcus",2.46771560004138,"PCD"
"PC vs PCD","g__JABCPE02_HROM_Genome_1200","g__JABCPE02",2.51058692124076,"PCD"
"PC vs PCD","g__Streptococcus_HROM_Genome_2260","g__Streptococcus",2.51525691898797,"PCD"
"PC vs PCD","g__Caviibacter_HROM_Genome_2910","g__Caviibacter",3.06375137614787,"PCD"
