"feature","metadata","value","coef","stderr","pval","name","qval","N","N.not.zero","Genus"
"s__Neisseria subflava","Periodontitis","Periodontitis",0.902602717997732,0.969755816380035,0.354340788129332,"Periodontitis",0.823179425267113,101,41,"g__Neisseria"
"s__Achromobacter xylosoxidans","Diabetes","Diabetes",0.713700440602772,0.782402228241388,0.363977101158673,"Diabetes",0.833200593013829,101,58,"g__Achromobacter"
"s__Prevotella sp013333285","KidneyDisease","KidneyDisease",0.372960402104211,0.413829081271457,0.369738502129603,"KidneyDisease",0.841321142570355,101,12,"g__Prevotella"
"s__Prevotella aurantiaca","Diabetes","Diabetes",0.378102303024477,0.424678020525131,0.375539532432125,"Diabetes",0.849434656691712,101,21,"g__Prevotella"
"s__Acinetobacter junii","KidneyDisease","KidneyDisease",0.278436254002749,0.323015258239316,0.39086311177996,"KidneyDisease",0.868584692844356,101,14,"g__Acinetobacter"
"s__Alloprevotella sp015257125","Diabetes","Diabetes",-0.433367503415702,0.53419921651934,0.419251714210727,"Diabetes",0.875360721978441,101,93,"g__Alloprevotella"
"g__Prevotella_HROM_Genome_0987","KidneyDisease","KidneyDisease",0.322162084710759,0.384916541096936,0.404712163707621,"KidneyDisease",0.875360721978441,101,12,"g__Prevotella"
"s__Prevotella histicola","KidneyDisease","KidneyDisease",0.580371683065089,0.682157429672281,0.397026201372031,"KidneyDisease",0.875360721978441,101,22,"g__Prevotella"
"s__Prevotella intermedia","Periodontitis","Periodontitis",-0.69801428738598,0.835060401998702,0.405317200240937,"Periodontitis",0.875360721978441,101,15,"g__Prevotella"
"s__Acidovorax_A wautersii","Periodontitis","Periodontitis",-1.08301928056149,1.30932368267905,0.410219647573982,"Periodontitis",0.875360721978441,101,31,"g__Acidovorax_A"
"s__Burkholderia contaminans","Periodontitis","Periodontitis",-0.794922672606961,0.959911153615286,0.409677519684758,"Periodontitis",0.875360721978441,101,29,"g__Burkholderia"
"s__Escherichia coli","Periodontitis","Periodontitis",0.911103953480531,1.11470674076446,0.415774408588173,"Periodontitis",0.875360721978441,101,39,"g__Escherichia"
"s__Acinetobacter baumannii","KidneyDisease","KidneyDisease",-0.618956680568629,0.743245700022056,0.407060172651277,"KidneyDisease",0.875360721978441,101,32,"g__Acinetobacter"
"s__Moraxella_A cinereus","Diabetes","Diabetes",-0.791560988742065,0.953247125615738,0.408403788802598,"Diabetes",0.875360721978441,101,88,"g__Moraxella_A"
"s__Stenotrophomonas maltophilia","Periodontitis","Periodontitis",0.780878108078715,0.961611277343599,0.418792091330905,"Periodontitis",0.875360721978441,101,15,"g__Stenotrophomonas"
"s__Bifidobacterium piotii","Periodontitis","Periodontitis",0.618065606056611,0.77078510161965,0.424632292452064,"Periodontitis",0.881750115474231,101,19,"g__Bifidobacterium"
"s__Alloprevotella sp905369775","Diabetes","Diabetes",0.50452545148886,0.636851034761286,0.430206854169653,"Diabetes",0.8884706770895,101,49,"g__Alloprevotella"
