feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
F655	Sex	M	1.76773592780815	0.592789771551577	101	101	0.00363746782307167	0.166344201601239
F737	Sex	M	1.69570491679675	0.569898393236779	101	54	0.00370985549648787	0.168359472722293
F168	Age	Age	0.0846752555186082	0.0285094859395765	101	41	0.00376972565900946	0.168503902577528
F493	Diabetes	Diabetes	-2.12708009074628	0.715801260161665	101	83	0.00375255863093729	0.168503902577528
F745	Age	Age	0.0920999520595301	0.0311064093612864	101	64	0.00387501563820619	0.171917671411461
F227	Sex	M	1.42325080066963	0.483639447724198	101	44	0.0040873732675714	0.173615507224443
F295	KidneyDisease	KidneyDisease	2.5349949324597	0.858544726312122	101	85	0.0039696794939599	0.173615507224443
F597	Age	Age	0.0784512835873118	0.0266059581847721	101	33	0.00401733152229735	0.173615507224443
F604	Periodontitis	Periodontitis	2.79582723852864	0.950089350945105	101	78	0.00408850647795157	0.173615507224443
F701	KidneyDisease	KidneyDisease	-2.03402725342275	0.689786557072972	101	93	0.00401564495886152	0.173615507224443
F822	KidneyDisease	KidneyDisease	2.08502531270669	0.70762010638745	101	80	0.0040424232799021	0.173615507224443
F200	Sex	M	1.48823861893785	0.506289885985799	101	100	0.0041273552168219	0.174022175631249
F353	KidneyDisease	KidneyDisease	0.870539159301812	0.29704317091633	101	101	0.00423615033033668	0.176111284712249
F698	Diabetes	Diabetes	-2.44874585223259	0.835084074728544	101	99	0.00421556343455805	0.176111284712249
F64	Diabetes	Diabetes	-1.36508381348259	0.466293959304983	101	101	0.00427584038655335	0.176526882625414
F278	KidneyDisease	KidneyDisease	-2.40200925681978	0.821245070322051	101	90	0.00430970904499539	0.176698070844811
F413	Age	Age	0.053313257014007	0.0182446353451163	101	92	0.00434415849914926	0.176890563544126
F219	Periodontitis	Periodontitis	3.13937029682278	1.07960508588189	101	66	0.00452978808788534	0.181956690422151
F239	KidneyDisease	KidneyDisease	-3.60232701631747	1.23876320997074	101	60	0.00452825737095959	0.181956690422151
F811	Age	Age	0.0588169138460517	0.0202726335222701	101	74	0.00461812547493055	0.184260107036659
F824	Age	Age	0.0567338119580407	0.0196081751753205	101	62	0.00472637246499867	0.187321895362781
F18	Diabetes	Diabetes	-1.7460978562405	0.606227096428608	101	100	0.00491060617331458	0.188720485718845
F138	Diabetes	Diabetes	-0.64446330928327	0.226109169531157	101	18	0.00535806076752053	0.188720485718845
F146	Sex	M	0.559706128801845	0.195156607895104	101	14	0.00508928927530652	0.188720485718845
F201	Sex	M	1.38517396903342	0.482751524167617	101	99	0.00506941699986438	0.188720485718845
F277	Age	Age	0.0362832178391163	0.0127558987273734	101	16	0.00544871415902324	0.188720485718845
F281	Periodontitis	Periodontitis	2.07084950968539	0.726595235233302	101	89	0.00536050530092597	0.188720485718845
F291	Age	Age	0.0423906259266815	0.0147480056839578	101	11	0.00499627749269423	0.188720485718845
F359	KidneyDisease	KidneyDisease	-2.11679246484781	0.740662914266173	101	75	0.00523933391810882	0.188720485718845
F412	Age	Age	0.0527592745518972	0.0185658835676582	101	90	0.00549126908723411	0.188720485718845
F443	Sex	M	1.3608625894424	0.473781586381327	101	74	0.00502524679534157	0.188720485718845
F560	KidneyDisease	KidneyDisease	1.44900046676448	0.509920572228689	101	101	0.00549305346143131	0.188720485718845
F578	Sex	M	1.30628249611867	0.458801769087902	101	101	0.00540583295875043	0.188720485718845
F582	KidneyDisease	KidneyDisease	-1.80948096644796	0.634154211426789	101	98	0.00530950244905394	0.188720485718845
F598	Diabetes	Diabetes	-1.25378188758047	0.439865729685523	101	96	0.00535583937906837	0.188720485718845
F600	Sex	M	1.17566854807033	0.407919933194656	101	27	0.0048844051376093	0.188720485718845
F631	Age	Age	0.0544984268815848	0.0190517643572127	101	82	0.0052003735100821	0.188720485718845
F690	Sex	M	1.97511945922304	0.688921168497421	101	85	0.00510424048556545	0.188720485718845
F747	Periodontitis	Periodontitis	0.80838179911939	0.280093789245528	101	13	0.0048276941864354	0.188720485718845
F836	KidneyDisease	KidneyDisease	-1.75586186726012	0.616984929018879	101	90	0.00542596443493107	0.188720485718845
F904	Diabetes	Diabetes	2.15569589112391	0.757303401321932	101	48	0.0054155138380976	0.188720485718845
