"feature","rho","p","padj","Genus","Phylum"
"Streptococcus_oralis_N",-0.2213688893009,0.0261002949976169,0.0915435125432639,"Streptococcus","Bacillota"
"Campylobacter_A_concisus_U",-0.221198680357017,0.026218365197123,0.0916871653511156,"Campylobacter_A","Campylobacterota"
"Lachnoanaerobaculum_sp916720285",0.220840025796694,0.026468644659356,0.092050725843118,"Lachnoanaerobaculum","Bacillota_A"
"Arachnia_sp905372155",-0.220827868014988,0.0264771642038237,0.092050725843118,"Arachnia","Actinomycetota"
"Porphyromonas_A_levii",-0.22068805352537,0.0265753067565894,0.092122564820947,"Porphyromonas_A","Bacteroidota"
"JABCPE02_sp013333875",0.220207821147987,0.0269147651981732,0.0930280692460115,"JABCPE02","Bacteroidota"
"Streptococcus_downii",-0.219922113277899,0.0271184651565915,0.0933697752928162,"Streptococcus","Bacillota"
"Nanosynbacter_sp013099195",-0.219849166587663,0.0271706831381955,0.0933697752928162,"Nanosynbacter","Patescibacteria"
"Streptococcus_cristatus_A",0.219314224192604,0.0275562322595329,0.0941399136044764,"Streptococcus","Bacillota"
"Treponema_D_sp014334335",0.219289908629192,0.0275738670697023,0.0941399136044764,"Treponema_D","Spirochaetota"
"Pauljensenia_sp902373435",-0.219192646375545,0.0276445021951607,0.0941399136044764,"Pauljensenia","Actinomycetota"
"Neisseria_meningitidis",0.219052831885927,0.0277463093708948,0.0941399136044764,"Neisseria","Pseudomonadota"
"Streptococcus_sp943912555",-0.218992042977398,0.0277906725611196,0.0941399136044764,"Streptococcus","Bacillota"
"Pauljensenia_sp900541895",-0.218718492889015,0.0279910529587313,0.0945493237725328,"Pauljensenia","Actinomycetota"
"Streptococcus_sp902461025",-0.218463179473192,0.0281791798361587,0.0949151411478548,"Streptococcus","Bacillota"
"Streptococcus_mitis_J",-0.218226102729927,0.0283548287501847,0.0952369813106488,"Streptococcus","Bacillota"
"Prevotella_sp905372445",0.217837053715338,0.0286450858475088,0.095808366324664,"Prevotella","Bacteroidota"
"Streptococcus_sp023115445",-0.217782343697662,0.0286861046354755,0.095808366324664,"Streptococcus","Bacillota"
"Alloprevotella_tannerae_B",-0.217065034577014,0.0292285305833649,0.0973465626431958,"Alloprevotella","Bacteroidota"
"Veillonella_sp003463825",-0.216803642270337,0.0294283430328501,0.0977382677822872,"Veillonella","Bacillota_C"
"Tannerella_serpentiformis",-0.216390277692337,0.0297466868295682,0.0985203639007149,"Tannerella","Bacteroidota"
"Nanosynbacter_sp010202115",-0.215320392902218,0.0305842032981176,0.101012827004061,"Nanosynbacter","Patescibacteria"
"Catonella_massiliensis",-0.214785450507159,0.0310103852969189,0.102136698387913,"Catonella","Bacillota_A"
"Streptococcus_sp905221085",0.214445032619394,0.0312841970528402,0.102753895844826,"Streptococcus","Bacillota"
"Pauljensenia_sp000758755",-0.213964800242011,0.0316739385946764,0.103511006069149,"Pauljensenia","Actinomycetota"
"Prevotella_veroralis",-0.213946563569452,0.0316888193516991,0.103511006069149,"Prevotella","Bacteroidota"
"Streptococcus_sp905221345",-0.213131992195157,0.0323595403167718,0.10541231078532,"Streptococcus","Bacillota"
