feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
F186	KidneyDisease	KidneyDisease	-0.483560215991916	0.288439278573342	101	101	0.0969338430637759	0.661701539224687
F199	Sex	M	-0.961517321826184	0.576065150853184	101	21	0.0983875686938352	0.661701539224687
F52	KidneyDisease	KidneyDisease	1.24611172751385	0.753185609126014	101	13	0.10133553083886	0.663467155413446
F100	KidneyDisease	KidneyDisease	1.46943069731167	0.886281906691226	101	30	0.100621704732999	0.663467155413446
F145	Age	Age	-0.0428301949402501	0.025893003894567	101	78	0.101403277028256	0.663467155413446
F32	Sex	M	-0.710036744991161	0.434042408138291	101	11	0.105175936329604	0.665339486725947
F42	Age	Age	0.0509873129899875	0.0310527649122328	101	63	0.103905278928479	0.665339486725947
F92	KidneyDisease	KidneyDisease	0.795646006509375	0.48613927284972	101	18	0.105009677609809	0.665339486725947
F96	Age	Age	0.0218661845075351	0.0132836654523237	101	24	0.103048586794084	0.665339486725947
F116	Sex	M	-0.860576883169432	0.522668785187552	101	13	0.102964122419174	0.665339486725947
F124	Periodontitis	Periodontitis	-1.358086708801	0.829960221779532	101	93	0.105079917424506	0.665339486725947
F2	Age	Age	-0.0457812893928499	0.0280629823795571	101	53	0.106121751618588	0.667634096721336
F176	Diabetes	Diabetes	-1.15890858207396	0.713408980881272	101	31	0.107589830113486	0.673171341420446
F107	Age	Age	-0.0210346204800065	0.0129986624755576	101	14	0.108931977884413	0.677864753682899
F32	KidneyDisease	KidneyDisease	-0.863176398488383	0.538912520418547	101	11	0.112542011112621	0.683044869630043
F61	Sex	M	-0.894590591800431	0.556562452709814	101	12	0.11129636247474	0.683044869630043
F66	Age	Age	-0.052123877062637	0.0326709792264414	101	27	0.113940235894619	0.683044869630043
F93	Sex	M	-1.10185655772867	0.690337769600658	101	27	0.113785099679338	0.683044869630043
F180	Diabetes	Diabetes	-0.662760054254853	0.41425755164164	101	12	0.112947001565115	0.683044869630043
F195	Periodontitis	Periodontitis	-0.409112550009639	0.255822140848304	101	12	0.113095324928049	0.683044869630043
F224	KidneyDisease	KidneyDisease	0.956449987875672	0.597081258580791	101	19	0.112503181124532	0.683044869630043
F1	Sex	M	0.249676370499813	0.15843348568465	101	12	0.118371744081606	0.688501187787015
F7	Age	Age	-0.0546139365239774	0.0355755572673164	101	43	0.128070014609876	0.688501187787015
F16	KidneyDisease	KidneyDisease	-1.16586877649394	0.746019323059233	101	44	0.121428077679699	0.688501187787015
F22	Age	Age	-0.0245096526779122	0.0155312310160967	101	16	0.117869527841397	0.688501187787015
F30	Sex	M	1.01098056651526	0.637880833089958	101	65	0.116311224938433	0.688501187787015
F33	Sex	M	-0.867053279005039	0.551746515912483	101	14	0.119398223118062	0.688501187787015
F39	Age	Age	-0.0270291269741296	0.0174344120639957	101	11	0.124386961434835	0.688501187787015
F45	KidneyDisease	KidneyDisease	0.904038367466553	0.580439225369504	101	11	0.12267534436637	0.688501187787015
F49	Sex	M	-0.603839382254176	0.394439985559532	101	11	0.129122893248384	0.688501187787015
F75	Periodontitis	Periodontitis	-1.06407829398695	0.695304675619424	101	17	0.129246634956795	0.688501187787015
F85	Age	Age	0.053017356574617	0.0342174592586541	101	41	0.124604871741888	0.688501187787015
F91	KidneyDisease	KidneyDisease	0.954208047109747	0.618752821783878	101	46	0.126362371286388	0.688501187787015
F97	Age	Age	0.0180988892401935	0.0116379800104255	101	12	0.123233867024824	0.688501187787015
F118	KidneyDisease	KidneyDisease	1.0252061541937	0.659779144137974	101	35	0.123542412750507	0.688501187787015
F125	KidneyDisease	KidneyDisease	1.66399591354391	1.09246809491833	101	66	0.131042437993417	0.688501187787015
F151	Age	Age	-0.0356111808347447	0.0233136415621607	101	57	0.129963804106495	0.688501187787015
F163	KidneyDisease	KidneyDisease	0.507717526370982	0.328913392681677	101	21	0.126004953864526	0.688501187787015
F169	KidneyDisease	KidneyDisease	0.992283347385938	0.633396812417328	101	33	0.120531849061146	0.688501187787015
F170	Diabetes	Diabetes	1.31085046242118	0.862073551479314	101	54	0.131687126747036	0.688501187787015
F182	KidneyDisease	KidneyDisease	0.725753244324265	0.463883863806539	101	15	0.121021839677273	0.688501187787015
F184	Age	Age	-0.0488974749148703	0.0310236000291885	101	58	0.118318387369406	0.688501187787015
F185	Periodontitis	Periodontitis	-1.29412301601162	0.848622967167332	101	91	0.130589344787651	0.688501187787015
F185	Sex	M	0.90053735841995	0.581102424550931	101	91	0.124537411377876	0.688501187787015
F189	Age	Age	-0.0268162706881399	0.0172230027263483	101	24	0.122794989680838	0.688501187787015
F191	Periodontitis	Periodontitis	-1.37347513224914	0.89884195956207	101	70	0.129823049714704	0.688501187787015
F193	Periodontitis	Periodontitis	-1.47616886190483	0.931463095289571	101	25	0.116338500090274	0.688501187787015
F194	Age	Age	-0.051496900870476	0.0335131409419733	101	41	0.127710874087039	0.688501187787015
F213	KidneyDisease	KidneyDisease	0.861547800772695	0.566536860782749	101	14	0.131649902558101	0.688501187787015
F5	Diabetes	Diabetes	0.600938011139728	0.405013363773998	101	21	0.141185899819074	0.688711685023922
