species,category
Atopobium_minutum,GTDB_only
Aureimonas_A_psammosilenae,GTDB_only
Aureimonas_altamirensis,GTDB_only
Aureimonas_altamirensis_B,GTDB_only
Aureimonas_jatrophae,GTDB_only
Aureimonas_pseudogalii,GTDB_only
Aureimonas_sp001442755,GTDB_only
Aureimonas_sp001463745,GTDB_only
Aureobasidium_melanogenum,GTDB_only
Aureobasidium_pullulans,GTDB_only
Auritidibacter_ignavus,GTDB_only
Avirikenella_sp910588925,GTDB_only
Azohydromonas_aeria,GTDB_only
Azonexus_sp018828385,GTDB_only
Azospira_oryzae,GTDB_only
BM004_sp024639555,GTDB_only
BOG_935_sp003165275,GTDB_only
Bacillus_A_anthracis,GTDB_only
Bacillus_A_bombysepticus,GTDB_only
Bacillus_A_cereus,GTDB_only
Bacillus_A_nitratireducens,GTDB_only
Bacillus_A_paranthracis,GTDB_only
Bacillus_A_toyonensis,GTDB_only
Bacillus_A_wiedmannii,GTDB_only
Bacillus_H_rhizosphaerae,GTDB_only
Bacillus_amyloliquefaciens,GTDB_only
Bacillus_safensis,GTDB_only
Bacillus_subtilis,GTDB_only
Bacteroides_D_periocalifornicus,GTDB_only
Bacteroides_acidifaciens,GTDB_only
Bacteroides_caecimuris,GTDB_only
Bacteroides_cellulosilyticus,GTDB_only
Bacteroides_eggerthii,GTDB_only
Bacteroides_faecichinchillae,GTDB_only
Bacteroides_fragilis,GTDB_only
Bacteroides_fragilis_A,GTDB_only
Bacteroides_intestinalis,GTDB_only
Bacteroides_intestinalis_A,GTDB_only
Bacteroides_nordii,GTDB_only
Bacteroides_ovatus,GTDB_only
Bacteroides_salyersiae,GTDB_only
Bacteroides_sp002491635,GTDB_only
Bacteroides_sp902362375,GTDB_only
Bacteroides_sp910585845,GTDB_only
Bacteroides_sp934716785,GTDB_only
Bacteroides_stercorirosoris,GTDB_only
Bacteroides_stercoris,GTDB_only
Bacteroides_thetaiotaomicron,GTDB_only
Barnesiella_intestinihominis,GTDB_only
Barnesiella_sp944320015,GTDB_only
Baudoinia_panamericana,GTDB_only
Belnapia_moabensis,GTDB_only
Belnapia_rosea,GTDB_only
Belnapia_sp000802185,GTDB_only
Belnapia_sp902805545,GTDB_only
Bergeyella_A_sp916710115,GTDB_only
Berryella_sp001552935,GTDB_only
Berryella_sp900604965,GTDB_only
Bifidobacterium_crudilactis,GTDB_only
Bifidobacterium_globosum,GTDB_only
Bifidobacterium_infantis,GTDB_only
Bifidobacterium_leopoldii,GTDB_only
Bifidobacterium_minimum,GTDB_only
Bifidobacterium_sp003585735,GTDB_only
Bifidobacterium_sp003585845,GTDB_only
Bifidobacterium_thermophilum,GTDB_only
Bifidobacterium_vaginale,GTDB_only
Bifidobacterium_vaginale_A,GTDB_only
Bifidobacterium_vaginale_C,GTDB_only
Bifidobacterium_vaginale_D,GTDB_only
Bifidobacterium_vaginale_E,GTDB_only
Bifidobacterium_vaginale_F,GTDB_only
Bifidobacterium_vaginale_H,GTDB_only
Bilophila_sp910585945,GTDB_only
Bin5_sp009840225,GTDB_only
Blastococcus_atacamensis,GTDB_only
Blastococcus_sp003319095,GTDB_only
Blastococcus_sp003319105,GTDB_only
Blastococcus_sp016612865,GTDB_only
Blastococcus_sp020166105,GTDB_only
Blastomonas_delafieldii_A,GTDB_only
Blastomonas_ursincola,GTDB_only
Blautia_A_massiliensis,GTDB_only
Blautia_A_obeum,GTDB_only
Blautia_A_sp900066335,GTDB_only
Blautia_A_sp900066505,GTDB_only
Blautia_A_sp900541345,GTDB_only
Bordetella_B_ansorpii_C,GTDB_only
Borkfalkia_sp904373255,GTDB_only
Bosea_psychrotolerans,GTDB_only
Bosea_sp001556025,GTDB_only
Bosea_sp001556125,GTDB_only
Bosea_sp001713455,GTDB_only
Bosea_sp021732895,GTDB_only
Brachybacterium_alimentarium,GTDB_only
Brachybacterium_epidermidis,GTDB_only
Brachybacterium_halotolerans,GTDB_only
Brachybacterium_merdigallinarum,GTDB_only
Brachybacterium_muris,GTDB_only
Brachybacterium_paraconglomeratum,GTDB_only
Brachybacterium_sp014400405,GTDB_only
Brachybacterium_sp014897705,GTDB_only
Brachybacterium_squillarum,GTDB_only
Bradyrhizobium_centrosematis,GTDB_only
Bradyrhizobium_denitrificans,GTDB_only
Bradyrhizobium_diazoefficiens_A,GTDB_only
Bradyrhizobium_diazoefficiens_D,GTDB_only
Bradyrhizobium_elkanii,GTDB_only
Bradyrhizobium_guangdongense_A,GTDB_only
Bradyrhizobium_guangzhouense,GTDB_only
Bradyrhizobium_hipponense,GTDB_only
Bradyrhizobium_japonicum,GTDB_only
Bradyrhizobium_japonicum_C,GTDB_only
Bradyrhizobium_liaoningense_A,GTDB_only
Bradyrhizobium_manausense_B,GTDB_only
Bradyrhizobium_manausense_D,GTDB_only
