species,category
Oribacterium_asaccharolyticum,shared
Oribacterium_parvum,shared
Oribacterium_sinus,shared
Oribacterium_sp000160135,shared
Oribacterium_sp013394775,shared
Oribacterium_sp015258095,shared
Ottowia_sp001262075,shared
Pantoea_agglomerans,shared
Parabacteroides_distasonis,shared
Parascardovia_denticolens,shared
Parvimonas_micra,shared
Parvimonas_sp000214475,shared
Parvimonas_sp000223315,shared
Parvimonas_sp015257355,shared
Pauljensenia_bouchesdurhonensis,shared
Pauljensenia_cardiffensis,shared
Pauljensenia_georgiae,shared
Pauljensenia_hongkongensis,shared
Pauljensenia_marseillensis,shared
Pauljensenia_meyeri,shared
Pauljensenia_odontolytica,shared
Pauljensenia_odontolytica_A,shared
Pauljensenia_odontolytica_B,shared
Pauljensenia_odontolytica_C,shared
Pauljensenia_pyogenes_A,shared
Pauljensenia_sp000185285,shared
Pauljensenia_sp000278725,shared
Pauljensenia_sp000308055,shared
Pauljensenia_sp000411415,shared
Pauljensenia_sp000466265,shared
Pauljensenia_sp000758755,shared
Pauljensenia_sp001064145,shared
Pauljensenia_sp001072465,shared
Pauljensenia_sp001838165,shared
Pauljensenia_sp018375675,shared
Pauljensenia_sp018382595,shared
Pauljensenia_sp900541895,shared
Pauljensenia_sp900556405,shared
Pauljensenia_sp902373435,shared
Pauljensenia_sp902373545,shared
Pauljensenia_turicensis,shared
Peptidiphaga_gingivicola,shared
Peptidiphaga_sp000466165,shared
Peptidiphaga_sp905373325,shared
Peptoanaerobacter_margaretiae,shared
Peptoanaerobacter_stomatis,shared
Peptoanaerobacter_yurii,shared
Peptoniphilus_A_lacrimalis,shared
Peptostreptococcus_sp900759325,shared
Peptostreptococcus_stomatis,shared
Phascolarctobacterium_faecium,shared
Phocaeicola_abscessus,shared
Phocaeicola_coprocola,shared
Porphyromonas_A_somerae,shared
Porphyromonas_asaccharolytica,shared
Porphyromonas_catoniae,shared
Porphyromonas_endodontalis,shared
Porphyromonas_gingivalis,shared
Porphyromonas_gulae,shared
Porphyromonas_pasteri,shared
Porphyromonas_sp000467855,shared
Porphyromonas_sp003640335,shared
Porphyromonas_sp018127745,shared
Porphyromonas_sp900538385,shared
Porphyromonas_sp905372525,shared
