feature	F1	F2	F3	F4	F5	F6	F7	F8	F9	F10	F11	F12	F13	F14	F15	F16	F17	F18	F19	F20	F21	F22	F23	F24	F25	F26	F27	F28	F29	F30	F31	F32	F33	F34	F35	F36	F37	F38	F39	F40	F41	F42	F43	F44	F45	F46	F47	F48	F49	F50	F51	F52	F53	F54	F55	F56	F57	F58	F59	F60	F61	F62	F63	F64	F65	F66	F67	F68	F69	F70	F71	F72	F73	F74	F75	F76
U33	0	0	0.00261780512086374	0	0.000959363223474896	0.00495355715584739	0	0.00748137043058239	0	0	0	0.00956593650600746	0	0	0	8.62044894799348e-05	0	0	7.18688651917458e-05	0	0	0	7.02373652837116e-05	0	0	0	0	0.000118347952855967	8.49622048341569e-05	0	0	0	0	0	0	0.000836058320536363	8.25441068496984e-05	0.000389885881095576	0	0	0	0.0108032347356885	0.105039429634342	0	0.0057793222876733	0.749148758781612	0	0	0.00544517385412518	0.000805325833166748	0.00172035175239797	0.00157595276444624	0.000424578123286655	0.000985246635274503	0.000650455164081634	0.0266357610062541	0.00334629646858568	0	0	0	0	0.00142967065316027	0	0	0.00390884131855695	0	0	0	0	0	0	0	0.00767567058479472	0.00217035031294548	7.32861867577247e-06	0
U34	0	0	0	0	0	0	0	0	0	0	0	0.0252388687915771	0	0	0	0.000232220032249829	0.000122625093577312	9.97274281714491e-05	0	0	0	0.0016356184578596	0	0.00174880358737265	0	0	0	0.000140309861844146	0.000221006815858994	0	0.000390004583195011	0	0	0	0	0	0.00400288547267662	0	0	0	0	0	0.144940258603384	0	0.00446953350989691	0.733523685365911	0	0	0.00565804868106046	0	0.00164879905171849	0.00127846385317055	0.000942974063981676	0.00146821148877344	0	0.0544759835399012	0	0	0	0.000109786386964282	0	0	0	0.000191313806835355	0.000202896428487146	0	0	0	0	0	0	0	0.00548146290136845	0	0	0
U35	0	0	0	0	0	0.000190159647182102	0	0	0	0	0	0.00174406014561773	0	0	9.57461577600333e-06	2.63708617758891e-05	0	0	0	0	0	0	0	0	0	0	0	2.13484806216953e-05	0.000821618144935299	0	0.000160295409178	0	0	0	0	0	0.00036137064451563	0	0.00532258463819145	0	0.19614549902372	0.00221951236475355	0.548482565693724	0	0.00357981124663704	0.227844187838818	0	0	0.00116213549781879	0	0.00013796003231659	0.000133386032168807	0	0.000213271340215852	0	0.00729907215148549	0	0	0	0	0	0	0	0.00108601465758095	0	0	0	0	0	1.13964405710904e-05	0	0.0014305359362972	0.000290965535664424	0	0	0
U36	0	0	0	0	0	0	0	0	0	0	0	0.00788949483957164	0	0	0	0.00241818318377426	0	0	0	0	0	0	0	0	0	0	0	0.000161114769727375	0.00197293901483442	0	0	0	0	0	0	0	0.00324139406372523	0	0.0140688641685718	0	0	0	0.222848134911573	0	0	0.650206050315862	0	0	0.00396854879656932	0.000176707242754922	0	0	0	0.00146050519711685	0	0.0744297995060755	0	0	0	0	0	0	0	0.000195844987899024	0.00020795040037549	0	0	2.37745511772907e-05	0	0.000102622787250729	0.000669758934055823	0	0.00719342016466236	0.00178285330575104	0.000384436242460503	0
U37	0	0	0	0	0	0	0	0	0	0	0	0.012874049185199	0	0	0	0.000126106381779427	0	0	0	0	0	0	0	0	0	0	0	0	7.37408517614032e-05	0	0	0	0	0	0	0	0.000100543180052191	0	0.0559908243962682	0	0	0.0652274949995736	0	0	0.00657505951016374	0.79893976036758	0	0	0.00402988370606955	0	0	0	0	0.000372824276926398	0.000139160207145197	0.0404521796204718	0	0	0	0	0	0	0	0.00131373472620244	0	0	0	0	0	0.00345815410274035	0	0	0.000119637358893146	3.27085121255223e-05	0	0.000890034383577349
U38	0	0	0.000590604333840466	0.000192135338855958	0	0.000186966280066352	0	0.000794222926543001	0	0.000494969813877332	0	0.0005421155355382	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00012244936168231	0	0	0	0.000139627504582142	0	0.000924424181314385	0	0.305572467452559	0.00292257816612241	0.669593101385105	0	0.000232333718125948	0.0159409959106965	0	0	0.000156039242274002	0	8.5373687040946e-05	0	2.51770406051934e-05	4.3395855138418e-05	0	0.000715890268058626	0	0	0	0	0	0	0	0	9.8286502462012e-05	0	0	0	0	0	0.00017589235082741	0	0.000191688733841237	0	0	0
U39	0	0	0.0785784520185935	0.0492524658992269	0	0.000603883805470809	0	0	0	0	0.0353572679276624	0.00460465936261919	0	0.0297242893852099	0	7.29651203304308e-05	0	0	0	0	0	0	0	0	0	0	0	3.75040049929667e-05	0	0	0	0	0	0.0145800625329339	0	0	0	0	0.00897182227053882	0.0276602402615222	0.0506029900183503	0	0	0	0.00245945776160796	0.399572098142473	5.83129325094152e-06	6.03236759141744e-06	0.00137925187711683	4.95858207335327e-06	0	0.00135379877800795	0	0.000172762148330832	0	0.013882554695453	0	0	0	0	0	0	0	0.00074429111876749	6.34118224350159e-05	0	0	0	0	5.60580241346225e-05	0.000493426448789066	0	6.69788656656495e-05	0	5.34154374709504e-06	0.000495495119554495
U40	0	0	0.0176373967553931	0.00213786627338098	0	0	0	0.000557243630787137	0	1.16048298411549e-05	1.68437994160514e-05	0.000866381787629532	0	0	0	2.27096982756168e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.35270406064037e-06	0	0.00242252780685148	7.66947553524297e-05	0.171573895169302	0	0.674719503662304	0	0.00136515253108011	0.119371547953376	3.88914218854649e-06	1.87751691860865e-06	0.0013834297484538	0.000108224413346844	3.09646840743483e-05	0.000240916043453989	6.27173856570648e-05	7.12621378504904e-06	0	0.00376818156514795	0	0	1.51009680726657e-05	0	0	0	0	2.83405814957495e-05	0	0	0	0	0	1.9628455751781e-05	0.000403132461943035	0	0.00204076534928384	0.000204877604110351	0	0
U41	0	0.000594129750610341	0	0.0518831270938274	0	0	0	0.00190052440628832	0	0.00653057556861002	0.00877670010852012	0.00760377848756023	0	0.01258610892035	0	0.00098257218103954	3.59728223120431e-05	0	0	0	0.00569221415210577	0	0.00645641618526529	0	0	0	0	0	0	0	0	0	0	0.0319698324232937	0	0	0.00101881092323029	0	0.0221347958157307	0	0.211111964775203	0.0114163402444909	0	0	0.0062926002973547	0.457696955169686	0	7.45960326826778e-05	0.00314590930217055	5.2028906513551e-05	0.000334508938109048	0	0	0.000317379931765775	0	0.0224193977212455	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000434705319809904	0.00110167435613745
U42	0	0	0.00269323143691546	0	0	0	0	0	0	0	0	0.0125841676696025	0	0	0	7.21531795522341e-05	0	0	0	0	0	0	0	0.00251867133690779	0	0	0	3.44547174126136e-05	0.00177409209459668	0	0	0	0	0.00100051834734684	0.00172815338287893	0	0	0	0.0645756316915134	0	0.371349149264303	0.037227383416696	0	0	0.00321259627965171	0.464615262759555	1.24363355444531e-05	0	0.00511616849983473	0	0	0	0	2.6293242388682e-05	0	0.0243651147516727	0	0	0	0	0.000934068066895744	0	0	7.88039500414817e-05	0.00238225621088198	0	0	0	0	0	0	0	0.00291877255632024	0.000562978653375505	0	0
